"Identifiant opération";"Localisation station de mesure";"Code station";"X";"Y";"Identifiant point prélèvement";"Date réalisation";"Débit mesuré (m3/s)";"Débit station hydro (m3/s)";"Distance interpoint (m)";"Largeur plein bord évaluée (m)";"Largeur mouillée évaluée (m)";"Longueur réelle opération (m)";"Longueur théorique opération (m)";"Pente ligne d'eau (‰)";"Pente ligne d'eau évaluée";"Description habitat marginaux";"Continuité ripisylve rive gauche";"Continuité ripisylve rive droite";"Nom réseau de mesure";"Observations";"Version protocole";"Structure responsable";"Cours d'eau";"Nombre transect";"D16 (mm)";"D50 (mm)";"D84 (mm)";"Indice Folk et Ward";"Indice Fredle";"Surface mouillée Q1 (m2)";"Largeur mouillée Q1 (m)";"Périmètre mouillé Q1 (m)";"Profondeur maximum Q1 (m)";"Profondeur moyenne Q1 (m)";"Rayon hydraulique Q1";"Rapport largeur/Profondeur Q1";"Coefficient rugosité";"Surface mouillée Qb (m2)";"Largeur mouillée Qb (m)";"Périmètre mouillé Qb (m)";"Profondeur maximum Qb (m)";"Profondeur moyenne Qb (m)";"Rayon hydraulique Qb";"Rapport largeur/Profondeur Qb";"Force tractrice Qb  (N/m2)";"Débit plein bord (m3/s)";"Ecart type cote point";"Coefficient variation cote point";"Ecart type cote point en eau";"Coefficient variation cote point en eau";"Ecart type largeur mouillée Qb";"Coefficient variation largeur mouillée Qb";"Vitesse moyenne Qb (m/s)";"Ligne énergie Qb (m)";"Cote ligne énergie Qb";"Nombre de Froude Qb";"Puissance spécifique Qb (w/m2)";"Nombre de mouille";"Profondeur moyenne des mouilles (m)";"Nombre de berges total";"Nombre de berges artificialisées";"Score ripisylve";"Classe ripisylve";"% fines";"% graviers-cailloux";"% blocs-rochers";"Indice de Shannon granulo";"Surface BV (km2)";"Proportion de roche imperméable BV";"Code HER ou DOM dominant";"Nom HER ou DOM dominant";"Type DOM";"Coefficient de sinuosité";"Débit Q01 RHT (m3/s)";"Puissance Q01 RHT (w/m)";"Puissance spécifique Q01 RHT (w/m2)";"Station référence modèle";"Résidu modèle Largeur mouillée Qb";"Résidu modèle rapport largeur/profondeur Qb";"Résidu modèle profondeur mouilles";"Résidu modèle profondeur Qb";"Résidu modèle pente ligne d'eau";"Résidu modèle surface mouillée Qb";"Résidu standardisé modèle largeur mouillée Qb";"Résidu standardisé modèle rapport largeur/profondeur Qb";"Résidu standardisé modèle profondeur mouilles";"Résidu standardisé modèle profondeur Qb";"Résidu standardisé modèle pente ligne d'eau";"Résidu standardisé modèle surface mouillée Qb";"IMG";"Modèle référence IMG";"Classe écart IMG"
1;"L'HELPE MAJEURE À EPPE SAUVAGE (59)";"01001122";784154;7002804;165938;2009-08-19;0,148;0,615;0,7;9,63;4,7;133;134,82;4,06;NA;"";"continue";"bosquets éparses";NA;"Depuis la RG";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Helpe majeure";15;18;29,5;53;0,783;21,278;1,559;4,774;5,082;0,451;0,311;0,281;16,571;3,474;10,023;8,621;9,801;1,704;1,163;1,016;5,203;40,452;2,242;0,68;0,007;0,322;0,969;1,279;0,148;0,234;1,707;100,982;0,071;10,564;4;0,439;30;0;NA;3;5,556;86,111;8,333;1,733;75,1;0,004;22;"ARDENNES";0;NA;NA;NA;NA;0;0,025;-0,331;0,75;0,349;0,349;0,393;0,178;-1,291;1,839;1,595;0,169;1,239;6,311;"Colinéen Est";"moyen"
2;"L'HELPE MINEURE À MAROILLES (59)";"01006000";757929;7002371;165945;2009-09-17;0,272;0,871;1,1;15;8,13;210;210;1,43;NA;"";"isolée";"espacée-régulière";NA;"De la rive gauche (A1) à la rive droite (A4)";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Helpe mineure";15;16,84;34,5;50,16;0,786;19,854;2,493;9,132;9,289;0,444;0,281;0,275;28,587;6,817;37,325;15,772;18,37;3,173;2,371;2,035;5,009;28,547;15,452;1,184;0,012;0,2;0,736;1,677;0,106;0,418;3,182;102,588;0,087;13,883;4;0,25;30;4;0,043;4;16,129;76,613;7,258;1,904;248,65;0,097;20;"DEPOTS ARGILO SABLEUX";0;1,17;11,074;155,349;9,85;0;0,174;-0,177;0,332;0,35;0,556;0,575;0,402;-0,685;0,208;0,823;0,67;0,884;3,673;"Plaine/collinéen détritique";"tres faible"
3;"LA SAMBRE RIVIÈRE À BERGUES SUR SAMBRE (02)";"01009300";751051;6993135;165948;2009-07-08;0,017;0,111;0,55;7;3,82;100;98;4,7;NA;"";"semi-continue";"bosquets éparses";NA;"Depuis la RG";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Sambre";15;18;28,5;46;0,736;20,785;0,59;2,985;3,148;0,32;0,202;0,185;12,022;1,292;5,751;6,624;7,634;1,445;0,873;0,757;4,629;34,914;0,423;0,594;0,006;0,151;0,788;1;0,151;0,075;1,446;100,895;0,026;2,998;3;0,247;30;0;0,101;1;23,864;75;1,136;1,738;20,53;0;20;"DEPOTS ARGILO SABLEUX";0;1,18;1,215;56,02;8,458;0;0,17;-0,081;0,618;0,246;0,233;0,309;0,389;-0,372;0,495;0,555;0,162;0,393;2,366;"Plaine/collinéen détritique";"tres faible"
4;"L'ESCAUT RIVIÈRE À CRÉVECOEUR SUR ESCAUT (59)";"01010000";717769;7000673;165949;2009-07-01;1,007;NA;0,7;14,2;4,9;198,8;198,8;3,2;NA;"";"bosquets éparses";"bosquets éparses";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Escaut";15;23;65,5;105,16;1,086;29,698;2,818;5,638;6,101;0,792;0,5;0,459;7,447;10,611;15,993;13,061;14,275;2,165;1,227;1,123;6,047;35,262;10,373;0,738;0,007;0,234;0,449;1,404;0,107;0,658;2,188;101,078;0,191;25,202;3;0,165;30;0;0,188;4;63,025;29,412;7,563;1,732;399,65;0;9;"TABLES CALCAIRES";0;1,01;14,581;457,727;35,046;1;-0,029;-0,286;-0,344;0,228;0,906;0,029;-0,112;-0,749;-0,729;0,67;1,125;0,065;3,449;"TABLES CALCAIRES";"tres faible"
5;"LA CLARENCE À CHOCQUES (62)";"01069000";669615;7048933;165974;2009-09-10;0,358;0,473;0,8;8,07;5,46;113;112,98;0,88;NA;"";"bosquets éparses";"continue";NA;"1 radier échantillonné sur la station
Depuis la RG";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Clarence";15;33;50;75,32;0,627;36,98;1,722;4,713;4,941;0,527;0,365;0,348;9,076;14,173;8,528;7,496;8,585;1,665;1,148;0,998;4,5;8,616;3,581;0,671;0,007;0,162;0,446;1,121;0,15;0,424;1,675;101,098;0,127;4,208;3;0,086;30;0;0,39;4;53,125;43,75;3,125;1,94;80,89;0,054;9;"TABLES CALCAIRES";0;1,07;2,391;20,641;2,754;0;-0,097;-0,429;-0,821;0,299;-1,071;0,241;-0,371;-1,126;-1,74;0,879;-1,33;0,532;5,977;"TABLES CALCAIRES";"faible"
6;"L'YSER À BAMBECQUE (59)";"01089000";668113;7089155;165978;2009-08-18;0,018;0,164;0,75;16,07;5,3;225;224,98;1,33;NA;"";"isolée";"isolée";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Yser";15;18,84;49;87,16;1,093;26,081;1,931;5,737;6,176;0,571;0,341;0,318;18,988;0,548;26,218;14,606;17,188;3,204;1,802;1,545;4,601;20,157;0,701;1,241;0,012;0,241;0,706;1,328;0,091;0,027;3,204;102,483;0,006;0,631;3;0,558;30;16;0,029;1;86,441;10,169;3,39;1,589;245,8;1;20;"DEPOTS ARGILO SABLEUX";0;1,11;0;0;0;0;0,101;-0,262;1,137;0,363;0,476;0,23;0,135;-0,958;1,013;0,857;0,545;0,246;3,754;"Plaine/collinéen détritique";"tres faible"
7;"LA SLACK À AMBLETEUSE (62)";"01090000";611011;7078271;165979;2009-06-17;0,09;0,1;0,7;9,6;4,85;133;134,4;5,3;NA;"";"semi-continue";"semi-continue";NA;"Depuis la rive gauche";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Slack";15;63,84;97;135,48;0,566;74,54;1,294;4,74;4,967;0,431;0,279;0,261;18,699;2,34;17,631;10,325;12,52;2,683;1,713;1,41;3,878;73,312;3,776;1,076;0,011;0,215;0,802;0,908;0,088;0,215;2,685;101,898;0,053;19,153;3;0,199;30;0;0,39;3;35,833;58,333;5,833;2,095;37,05;0,033;9;"TABLES CALCAIRES";0;1,28;2,935;152,599;14,779;0;0,462;-0,504;0,095;0,939;0,389;1,378;1,767;-1,322;0,202;2,76;0,482;3,04;9,573;"TABLES CALCAIRES";"tres fort"
8;"LA LIANE À WIRWIGNES (62)";"01092000";611146;7063387;165981;2009-06-18;0,63;0,669;0,95;18,92;6,6;265;264,88;1,6;NA;"";"bosquets éparses";"bosquets éparses";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Liane";15;20;34;66;0,792;23,892;3,033;7,98;8,256;0,664;0,389;0,371;14,815;10,062;57,33;19,895;22,795;4,654;2,89;2,52;4,3;39,561;42,733;1,722;0,017;0,282;0,762;2,365;0,119;0,756;4,683;103,808;0,143;34,139;4;0,362;30;0;0,087;4;55,556;41,667;2,778;1,947;127,48;0;9;"TABLES CALCAIRES";0;1,17;12,237;192,072;9,654;0;0,74;-0,518;0,564;1,232;-0,278;1,907;2,833;-1,358;1,195;3,621;-0,345;4,208;13,561;"TABLES CALCAIRES";"tres fort"
9;"LA HEM  À RECQUES SUR HEM (62)";"01115000";635636;7082384;165993;2009-09-10;0,346;0,417;1,2;10,63;8,28;170;148,82;3,82;NA;"";"semi-continue";"bosquets éparses";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Hem ";17;25;38;63,32;0,632;28,65;1,861;8,059;8,243;0,397;0,241;0,234;27,817;7,931;12,705;10,929;11,967;1,518;1,171;1,064;7,359;39,888;6,492;0,62;0,006;0,197;0,86;1,804;0,165;0,52;1,532;100,81;0,154;22,783;3;0,331;34;15;0,35;4;6,202;84,496;9,302;1,686;127,59;0,076;9;"TABLES CALCAIRES";0;1,01;7,563;283,417;25,932;0;0,141;0,019;0,474;0,111;0,593;0,4;0,54;0,05;1,004;0,327;0,736;0,882;3,539;"TABLES CALCAIRES";"tres faible"
10;"LA SOMME RIVIÈRE À MORCOURT (02)";"01116000";722809;6975617;165994;2009-07-09;0,324;NA;0,6;8,08;3,98;112;113,12;3,93;NA;"";"semi-continue";"absence";"Contrôle de surveillance des cours d'eau du bassin Escaut, Somme et cours d'eau côtiers de la Manche et de la Mer du Nord";"pour les bâtons depuis la RG
Pour la granulo du radier, celui-ci se situe 10 m en amont de la fin de la station, en aval du pont.";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Somme";15;18;30;53,16;0,77;21,555;1,025;3,209;3,505;0,433;0,315;0,287;7,638;11,588;5,333;5,848;6,854;1,426;0,917;0,777;4,121;29,944;3,274;0,589;0,006;0,137;0,427;1,003;0,172;0,636;1,447;100,792;0,213;22,393;4;0,117;30;2;NA;3;34,091;55,682;10,227;1,739;102,33;0;9;"TABLES CALCAIRES";0;1,2;4,649;179,234;30,65;0;-0,417;-0,54;-0,544;0,095;0,526;-0,352;-1,596;-1,415;-1,154;0,278;0,653;-0,777;5,873;"TABLES CALCAIRES";"faible"
